Athlete_Name,Gold,Silver,Bronze,Total,Years
Michael Phelps,5,0,2,7,2004
Natalie Coughlin,2,2,1,5,2004
Petria Thomas,3,1,0,4,2004
Ian Crocker,2,1,1,4,2004
Ian Thorpe,2,1,1,4,2004
Inge de Bruijn,1,1,2,4,2004
Aaron Peirsol,3,0,0,3,2004
Jodie Henry,3,0,0,3,2004
Jason Lezak,2,0,1,3,2004
Kosuke Kitajima,2,0,1,3,2004
Veronica Campbell,2,0,1,3,2004
Amanda Beard,1,2,0,3,2004
Otylia Jedrzejczak,1,2,0,3,2004
Pieter Van Den Hoogenenband,1,2,0,3,2004
Grant Hackett,1,2,0,3,2004
Kirsty Coventry,1,1,1,3,2004
Justin Gatlin,1,1,1,3,2004
Brendan Hansen,1,1,1,3,2004
Kaitlin Sandeno,1,1,1,3,2004
Roland Schoeman,1,1,1,3,2004
Laure Manaudou,1,1,1,3,2004
Leisel Jones,1,1,1,3,2004
Klete Keller,1,0,2,3,2004
Antje Buschschulte,0,0,3,3,2004
Hicham El Guerrouj,2,0,0,2,2004
Michael Phelps,8,0,0,8,2008
Natalie Coughlin,1,2,3,6,2008
Lisbeth Trickett,2,1,1,4,2008
Ryan Lochte,2,0,2,4,2008
Kirsty Coventry,1,3,0,4,2008
Nastia Liukin,1,2,1,4,2008
Usain Bolt,3,0,0,3,2008
Chris Hoy,3,0,0,3,2008
Stephanie Rice,3,0,0,3,2008
Aaron Peirsol,2,1,0,3,2008
Leisel Jones,2,1,0,3,2008
Jason Lezak,2,0,1,3,2008
Kosuke Kitajima,2,0,1,3,2008
Rebecca Soni,1,2,0,3,2008
Shawn Johnson,1,2,0,3,2008
Alain Bernard,1,1,1,3,2008
Jessicah Schipper,1,0,2,3,2008
Dara Torres,0,3,0,3,2008
Laszlo Cseh,0,3,0,3,2008
Eamon Sullivan,0,2,1,3,2008
Katie Hoff,0,1,2,3,2008
Pang Jiaying,0,1,2,3,2008
Andrew Lauterstein,0,1,2,3,2008
Kenenisa Bekele Beyecha,2,0,0,2,2008
Tirunesh Dibaba Kenene,2,0,0,2,2008
Michael Phelps,4,2,0,6,2012
Missy Franklin,4,0,1,5,2012
Allison Schmitt,3,1,1,5,2012
Ryan Lochte,2,2,1,5,2012
Alicia Coutts,1,3,1,5,2012
Sun Yang,2,1,1,4,2012
Aliya Mustafina,1,1,2,4,2012
Allyson Felix,3,0,0,3,2012
Dana Vollmer,3,0,0,3,2012
Usain Bolt,3,0,0,3,2012
Rebecca Soni,2,1,0,3,2012
Matthew Grevers,2,1,0,3,2012
Nathan Adrian,2,1,0,3,2012
Ranomi Kromowidjojo,2,1,0,3,2012
Yannick Agnel,2,1,0,3,2012
Alexandra Raisman,2,0,1,3,2012
Zou Kai,2,0,1,3,2012
Cullen Jones,1,2,0,3,2012
Kohei Uchimura,1,2,0,3,2012
Shelly-Ann Fraser-Pryce,1,2,0,3,2012
Yohan Blake,1,2,0,3,2012
Brittany Elmslie,1,2,0,3,2012
Emily Seebohm,1,2,0,3,2012
Melanie Schlanger,1,2,0,3,2012
Carmelita Jeter,1,1,1,3,2012
Michael Phelps,5,1,0,6,2016
Katie Ledecky,4,1,0,5,2016
Simone Biles,4,0,1,5,2016
Katinka Hosszú,3,1,0,4,2016
Simone Manuel,2,2,0,4,2016
Maya DiRado,2,1,1,4,2016
Nathan Adrian,2,0,2,4,2016
Emma McKeon,1,2,1,4,2016
Penelope Oleksiak,1,1,2,4,2016
Ryan Murphy,3,0,0,3,2016
Usain Bolt,3,0,0,3,2016
Danusia Kozák,3,0,0,3,2016
Laura Kenny,3,0,0,3,2016
Jason Kenny,3,0,0,3,2016
Allyson Felix,2,1,0,3,2016
Elaine Thompson-Herah,2,1,0,3,2016
Max Whitlock,2,0,1,3,2016
Alexandra Raisman,1,2,0,3,2016
Tori Bowie,1,1,1,3,2016
Dana Vollmer,1,1,1,3,2016
Sarah Sjöström,1,1,1,3,2016
Aliya Mustafina,1,1,1,3,2016
Kosuke Hagino,1,1,1,3,2016
Kyle Chalmers,1,0,2,3,2016
Sarah Hammer,0,3,0,3,2016
Emma McKeon,4,0,3,7,2020
Caeleb Dressel,5,0,0,5,2020
Kaylee McKeown,3,0,1,4,2020
Katie Ledecky,2,2,0,4,2020
Daiki Hashimoto,2,2,0,4,2020
Zhang Yufei,2,2,0,4,2020
Ariarne Titmus,2,1,1,4,2020
Nikita Nagornyy,2,0,2,4,2020
Duncan Scott,1,3,0,4,2020
An San,3,0,0,3,2020
Lisa Carrington,3,0,0,3,2020
Elaine Thompson-Herah,3,0,0,3,2020
Evgeny Rylov,2,1,0,3,2020
Vitalina Batsarashkina,2,1,0,3,2020
Denis Ablyazin,2,1,0,3,2020
Adam Peaty,2,1,0,3,2020
James Guy,2,1,0,3,2020
Harrie Lavreysen,2,0,1,3,2020
Sifan Hassan,2,0,1,3,2020
Mollie O'Callaghan,2,0,1,3,2020
Cate Campbell,2,0,1,3,2020
Sunisa Lee,1,1,1,3,2020
Ryan Murphy,1,1,1,3,2020
Maggie MacNeil,1,1,1,3,2020
Angelina Melnikova,1,0,2,3,2020
