Years,Position,Continent,Gold,Silver,Bronze,Total
2020,1.,Europe,141,165,191,497
2020,2.,Asia,92,78,97,267
2020,3.,America,71,70,70,211
2020,4.,Oceania,25,13,30,68
2020,5.,Africa,11,12,14,37
2016,1.,Europe,136,151,155,442
2016,2.,America,76,60,74,210
2016,3.,Asia,70,58,97,225
2016,4.,Oceania,13,20,15,48
2016,5.,Africa,10,18,17,45
2012,1.,Europe,129,145,161,435
2012,2.,Asia,77,75,86,238
2012,3.,America,70,56,74,200
2012,4.,Oceania,14,17,17,48
2012,5.,Africa,13,12,15,40
2008,1.,Europe,129,135,158,422
2008,2.,Asia,86,61,76,223
2008,3.,America,57,73,83,213
2008,4.,Oceania,17,18,21,56
2008,5.,Africa,13,16,15,44
2004,1.,Europe,136,150,182,468
2004,2.,Asia,75,61,58,194
2004,3.,America,61,59,57,177
2004,4.,Oceania,20,18,17,55
2004,5.,Africa,9,13,13,35
