Years,Host_City,Nations,Athletes
2020,Tokyo,206,11315
2016,Rio,207,11238
2012,London,205,10500
2008,Beijing,204,10942
2004,Athens,201,10625
2000,Sydney,199,10651
1996,Atlanta,197,10318
1992,Barcelona,169,9356
1988,Seoul,159,8391
1984,Los Angeles,140,6829
1980,Moscow,80,5179
1976,Montreal,92,6084
1972,Munich,121,7134
1968,Mexico City,112,5516
1964,Tokyo,93,5151
1960,Rome,83,5338
1956,Melbourne,72,3314
1952,Helsinki,69,4955
1948,London,59,4104
1936,Berlin,49,3963
1932,Los Angeles,37,1332
1928,Amsterdam,46,2883
1924,Paris,44,3089
1920,Antwerp,29,2626
1912,Stockholm,28,2587
1908,London,22,2008
1904,St. Louis,12,691
1900,Paris,24,997
1896,Athens,14,241
